mean,metric,mode,n,p05,p25,p50,p75,p95,std,variance_scale
0.0,delta_snr,channel_iso,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,delta_hf_snr,channel_iso,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,delta_hf_phase_coh,channel_iso,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1036978789368621,delta_snr,channel_iso,192,0.0760051609916312,0.08844399498670263,0.10062432496680529,0.11923528146675366,0.13763282987096995,0.02022749001167639,0.002
0.03736022876311811,delta_hf_snr,channel_iso,192,0.009616899049383764,0.025259539320755753,0.0369279571270118,0.04955684692376261,0.0674672263855914,0.01821383946236108,0.002
9.400676935911179e-05,delta_hf_phase_coh,channel_iso,192,1.7085671424865728e-05,5.790591239929199e-05,8.216500282287598e-05,0.00012327730655670166,0.00020584762096405028,9.229917986817193e-05,0.002
0.2579105005313451,delta_snr,channel_iso,192,0.1937099178408513,0.22092352013813876,0.24848922287775999,0.29798185969636215,0.34635423100922863,0.048086814051819166,0.005
0.0965122623752958,delta_hf_snr,channel_iso,192,0.03301402170364947,0.06978339894353924,0.09807142023781878,0.1251418860141298,0.15357789391314255,0.038224816933613036,0.005
0.00024794476727644604,delta_hf_phase_coh,channel_iso,192,0.00011838078498840331,0.0001735687255859375,0.0002160966396331787,0.00029636919498443604,0.0004838407039642334,0.00011960142615690342,0.005
0.49869766019629386,delta_snr,channel_iso,192,0.38335048709840275,0.4273046596997814,0.4686393626638381,0.5762160249599697,0.649958074433769,0.08910489302597502,0.01
0.18966734582781686,delta_hf_snr,channel_iso,192,0.0397636558674781,0.1402416317831734,0.19551354805796972,0.2428174181999041,0.29499873343537997,0.07296880375772201,0.01
0.0004860926419496536,delta_hf_phase_coh,channel_iso,192,0.00027103424072265624,0.0003537982702255249,0.0004349946975708008,0.0005821287631988525,0.0008486032485961911,0.00019700052240287168,0.01
0.9452516076232254,delta_snr,channel_iso,192,0.7324085993750231,0.8252488496479335,0.8955599463126589,1.0787923410082607,1.2226992132772432,0.15819986747333298,0.02
0.36731833184394896,delta_hf_snr,channel_iso,192,0.08161007837456347,0.28348964736926385,0.38197246687821895,0.4643938000148995,0.5544046223534564,0.1336000172966121,0.02
0.0009598160783449808,delta_hf_phase_coh,channel_iso,192,0.0005568474531173706,0.0007136911153793335,0.0008568763732910156,0.0011244714260101318,0.0017388850450515746,0.0003889135177863472,0.02
2.0618849245136888,delta_snr,channel_iso,192,1.6683383666419194,1.8222023919696086,1.9796159504218842,2.326332380576389,2.5851360511727597,0.30003114041105705,0.05
0.8675559130682625,delta_hf_snr,channel_iso,192,0.20111598766112423,0.6913881067535339,0.8819645342283327,1.083298156468103,1.2671366794647005,0.29526711355127555,0.05
0.002440080357094606,delta_hf_phase_coh,channel_iso,192,0.001413559913635254,0.0018762201070785522,0.002169281244277954,0.002905905246734619,0.004310944676399231,0.0008072078864779686,0.05
3.4700622757230524,delta_snr,channel_iso,192,2.8851027270994214,3.122784440088747,3.354154309818137,3.8250976135825563,4.212372840493301,0.43844338832149893,0.1
1.5757666734759488,delta_hf_snr,channel_iso,192,0.43216612437119284,1.2769703771075456,1.602287681253542,1.9648642974539174,2.241821604670025,0.5036297826119406,0.1
0.00483197346329689,delta_hf_phase_coh,channel_iso,192,0.0028015732765197753,0.0038167089223861694,0.004306614398956299,0.0055646151304244995,0.00822412371635437,0.0015381337665267268,0.1
0.0,delta_snr,pca,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,delta_hf_snr,pca,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,delta_hf_phase_coh,pca,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5358135600010652,delta_snr,pca,192,0.2927217610887798,0.41129494992354676,0.508720632643616,0.6882870082947372,0.7884593510750685,0.15729902576885021,0.002
0.08422515549995752,delta_hf_snr,pca,192,0.020896896059699268,0.06614946360396834,0.08758894717120835,0.10877019814841216,0.12889631328362297,0.03230472920426151,0.002
0.00022606458514928818,delta_hf_phase_coh,pca,192,7.199943065643311e-05,0.00014153122901916504,0.0001997053623199463,0.00027798116207122803,0.0004579395055770871,0.00013674358679101147,0.002
1.2157050200969481,delta_snr,pca,192,0.6818522838754563,0.9482403238433452,1.1680104410250731,1.5326982695405658,1.7321857902441422,0.326129572373257,0.005
0.2083743648333902,delta_hf_snr,pca,192,0.04533883230525304,0.16607698147239747,0.22611493927623183,0.26597215276331765,0.31091474924428203,0.07730952125481885,0.005
0.0005335255215565363,delta_hf_phase_coh,pca,192,0.0002102792263031006,0.0003820657730102539,0.0005092322826385498,0.0006810426712036133,0.000910612940788269,0.00024405341241332567,0.005
2.161410685903391,delta_snr,pca,192,1.286708149095467,1.7247324805899238,2.0653513034656275,2.6777698222738637,2.9864985264177886,0.528448792322629,0.01
0.39972347792674184,delta_hf_snr,pca,192,0.10811575032227663,0.30426055381073214,0.4359784056975782,0.5038776534728373,0.5770772091696182,0.14321763969884915,0.01
0.001077657255033652,delta_hf_phase_coh,pca,192,0.0004268467426300049,0.0007652193307876587,0.0010117292404174805,0.0013982653617858887,0.0017907381057739255,0.00044144540634030705,0.01
3.593755080452814,delta_snr,pca,192,2.272600590000923,2.9733417733073306,3.5277258695612925,4.36105577831805,4.7538727791004005,0.7802516838141357,0.02
0.7739725668070415,delta_hf_snr,pca,192,0.18942281292658464,0.618769665320718,0.8286860499463957,0.9761994710665238,1.1034797207262943,0.26260458282596083,0.02
0.002182659072180589,delta_hf_phase_coh,pca,192,0.0008755922317504883,0.001680523157119751,0.0021409988403320312,0.002701371908187866,0.0033721596002578734,0.0007650959365464233,0.02
6.257640577301011,delta_snr,pca,192,4.400625799668249,5.3474743556055895,6.222711020254694,7.287772926769391,7.838098185675422,1.0597802786067438,0.05
1.7120498602392427,delta_hf_snr,pca,192,0.46613986417141134,1.4755055670926978,1.8615080697282451,2.123115834850377,2.2992620196310045,0.5233817626122304,0.05
0.005509515913824241,delta_hf_phase_coh,pca,192,0.0021795362234115602,0.004198864102363586,0.005438685417175293,0.007038548588752747,0.008294954895973204,0.001811024025324595,0.05
8.769028647224127,delta_snr,pca,192,6.540476683044117,7.793177058180812,8.695525287952991,9.982871048303625,10.496057447620803,1.2256071900677847,0.1
2.9233584528334315,delta_hf_snr,pca,192,0.8665378422937939,2.5237825015058677,3.19748226640535,3.513877186251404,3.8527586079159355,0.8457526622502581,0.1
0.01085926095644633,delta_hf_phase_coh,pca,192,0.0046844482421875,0.008305296301841736,0.01076418161392212,0.013604700565338135,0.016201215982437133,0.003532628145827526,0.1
