case_id,case_type,v16_2_snr,v16_3_snr,delta_snr,hf_energy_ratio_3500_9000,spectral_centroid
full_000,full,20.17614884893287,20.95603595375911,0.7798871048262406,0.057239383459091187,1075.4766194365259
silence_000,silence,20.139291182471496,20.94199644473764,0.8027052622661444,0.05723939463496208,1075.4758919230167
full_001,full,18.519447022296443,19.27007984541078,0.7506328231143371,0.21428699791431427,2016.3246517189261
silence_001,silence,18.450326009348878,19.237292618007174,0.7869666086582967,0.21429890394210815,2016.390750524677
full_002,full,18.14217366678975,19.215816460562763,1.0736427937730149,0.1458912491798401,1665.7024292852946
silence_002,silence,18.220190321459178,19.221350478719238,1.0011601572600597,0.14589138329029083,1665.7025755365964
full_003,full,21.04379406933175,21.777411311186388,0.7336172418546383,0.04051505774259567,760.6935598273969
silence_003,silence,20.985121189656645,21.741953840141385,0.7568326504847391,0.04051527380943298,760.6958378811572
full_004,full,20.693381710911098,21.45236925393778,0.7589875430266808,0.06327623873949051,1077.47020642467
silence_004,silence,20.60111699041876,21.52634933655959,0.9252323461408309,0.06327623128890991,1077.470133165582
full_005,full,21.026289370491504,21.83737934501731,0.8110899745258067,0.06566502898931503,1081.930778293442
silence_005,silence,21.010996718351073,21.878070957083985,0.8670742387329113,0.06566457450389862,1081.9305629540875
full_006,full,20.53210723485414,21.449927886962726,0.9178206521085848,0.039844878017902374,775.614414690993
silence_006,silence,20.375822710611008,21.39982827411577,1.0240055635047618,0.03984630107879639,775.631806618242
full_007,full,18.963779621585807,19.983680111078435,1.0199004894926276,0.15930253267288208,1749.5029246443405
silence_007,silence,18.954267142278244,19.995593042008657,1.0413258997304133,0.15930236876010895,1749.5033521753946
full_008,full,17.65868553237872,18.979720318621233,1.3210347862425138,0.1161760464310646,1532.9507972115048
silence_008,silence,17.600455003095032,18.977629693135782,1.37717469004075,0.11617612093687057,1532.951495021315
full_009,full,18.914178771340193,19.77483718397162,0.8606584126314267,0.11459551751613617,1354.2949877513838
silence_009,silence,18.89086124452019,19.813039506082117,0.9221782615619247,0.11459926515817642,1354.3489377300593
full_010,full,23.326127000157015,23.993845714046916,0.6677187138899008,0.012932241894304752,700.8807950588053
silence_010,silence,23.155121947321874,23.90607364321758,0.7509516958957079,0.012977328151464462,701.4624175960478
full_011,full,15.334158962350529,16.748753134789016,1.4145941724384876,0.20856784284114838,2221.3498751376474
silence_011,silence,15.303891356303264,16.674972299292826,1.3710809429895612,0.20857004821300507,2221.2887464370156
full_012,full,19.626198450867726,20.69030918408105,1.0641107332133224,0.12533925473690033,1622.3360835868643
silence_012,silence,19.595410895365493,20.66743269757156,1.0720218022060664,0.1253402680158615,1622.3518562135378
full_013,full,17.908143991947014,18.692291949130087,0.7841479571830732,0.17566703259944916,1628.8122991272826
silence_013,silence,17.84251619619462,18.657131980423802,0.8146157842291828,0.1756671667098999,1628.8125451631602
full_014,full,18.605094489416754,19.556919742343403,0.9518252529266498,0.17008841037750244,1744.513683533527
silence_014,silence,18.61048396825626,19.545933652554545,0.935449684298284,0.17008839547634125,1744.513564027699
full_015,full,21.225894796608884,22.02535217398527,0.7994573773763847,0.043041739612817764,876.5955327296715
silence_015,silence,21.273655617189018,22.059797086749565,0.7861414695605475,0.04304172098636627,876.5954658991809
full_016,full,20.682997629473125,21.47245664766215,0.7894590181890244,0.10596775263547897,1125.8906047452472
silence_016,silence,20.622329024357246,21.454515908569082,0.8321868842118363,0.10596764832735062,1125.890667044194
full_017,full,19.9965745755553,21.038693806261772,1.0421192307064722,0.18107512593269348,1994.6354381438014
silence_017,silence,19.862699876801692,20.816358254830337,0.9536583780286456,0.1810753047466278,1994.6344994592414
full_018,full,19.43476585712216,20.27935592567729,0.8445900685551315,0.12488379329442978,1462.4816881933607
silence_018,silence,19.39207602533443,20.253717908522802,0.8616418831883728,0.12490814924240112,1462.6803414427097
full_019,full,20.342963259847156,21.100895308834886,0.7579320489877297,0.07475532591342926,925.0102289837879
silence_019,silence,20.23539598426334,21.188130756089755,0.9527347718264139,0.07475577294826508,925.0264295659573
full_020,full,18.887086806790222,19.745565905621298,0.8584790988310758,0.19790726900100708,1865.639486910456
silence_020,silence,18.90589563924777,19.850047444614486,0.9441518053667153,0.19791066646575928,1865.7004147861765
full_021,full,21.645258153976776,22.580596712336597,0.9353385583598204,0.05413532629609108,886.6336467778657
silence_021,silence,21.662713596300716,22.53943785613407,0.876724259833356,0.05413780361413956,886.6722891659641
full_022,full,20.03784785734908,21.335888913872694,1.298041056523612,0.2098120003938675,2111.1523001760397
silence_022,silence,20.15854150956634,21.238362238982802,1.0798207294164612,0.20982146263122559,2111.2844729027643
full_023,full,18.318808500798283,19.174873915383287,0.8560654145850037,0.14380612969398499,1407.8141021713361
silence_023,silence,18.173329267138747,19.103607184188604,0.9302779170498567,0.14381368458271027,1407.8959699810837
concat_000,concat,19.974827698007577,21.017090552958045,1.0422628549504687,0.11377440392971039,1468.5758481461855
concat_001,concat,19.85639821648554,20.773721213654714,0.9173229971691725,0.15673620998859406,1584.4267098071982
concat_002,concat,20.792853733858504,21.971571418395897,1.1787176845373928,0.08718112111091614,1199.6533167553316
concat_003,concat,18.68748609175023,19.5177319887564,0.8302458970061686,0.17319758236408234,1661.3628780222225
concat_004,concat,20.28308991752003,21.02919616552741,0.7461062480073792,0.12221310287714005,1436.7141144858376
concat_005,concat,20.212971377893734,21.487715644551102,1.2747442666573683,0.06057146564126015,1008.2903987503242
concat_006,concat,20.31361855579663,21.604730647956227,1.2911120921595973,0.12499118596315384,1476.380521511094
concat_007,concat,20.44370396910076,21.468231456371658,1.0245274872708983,0.07279394567012787,1082.4650070639314
concat_008,concat,19.456461610248073,20.370073568872847,0.9136119586247737,0.07169388234615326,1027.2139458368845
concat_009,concat,18.41063054243261,19.309117960678147,0.8984874182455371,0.17063008248806,1818.1782162244465
concat_010,concat,20.6414691602939,21.59219500601353,0.9507258457196279,0.09206975251436234,1222.9046530555443
concat_011,concat,21.162452676136635,22.22765058224661,1.065197906109976,0.03179757669568062,809.1233312963909
