channel,mean
0,0.002502834686290983
1,-0.00497252026059794
2,-0.0044748476379030755
3,0.0028778220657441726
4,0.0028319770950816234
5,-0.0038927541736366216
6,0.010802896031015157
7,-0.0016664339653409844
8,-0.004395579060946621
9,-0.006171121178364011
10,-3.7554027684415585e-05
11,0.004301730250694807
12,0.0006264006948263951
13,0.00816452298687094
14,-0.0051277470204859335
15,-0.010445537533897244
16,-0.005190785063102112
17,-0.003067251439484118
18,0.00012945109617411828
19,0.00022338421211314202
20,0.0030761137972180174
21,-0.0001602958522161372
22,-0.009212366439340411
23,0.003455416056982191
24,-0.0037042032812123504
25,-0.0024080345536025027
26,-0.0015185841459848235
27,0.0017797325552108497
28,0.0009962688138368263
29,0.003919873155229314
30,0.0017662374671809915
31,-0.007358123024594332
32,0.008141531023318696
33,-0.007130593163815472
34,0.010972146761081412
35,-0.0017461595528017039
36,0.0015135400957500917
37,-0.0019050471723202082
38,0.026715053640204954
39,0.004212198714293388
40,0.0024279736280895785
41,-0.012688094317121803
42,0.0013193830013667693
43,0.0035510713826638926
44,0.0009963645378009245
45,0.0018428851689387955
46,-0.010501124948359416
47,-0.006444982422428976
48,-0.011054264986293293
49,-0.0007600600573874922
50,0.007998910066288655
51,-0.0005619592675398101
52,0.007133942529017249
53,0.0007457564724341902
54,-0.0013743679600362576
55,0.004477981920445245
56,0.004406624034297083
57,0.0009021876875328253
58,-0.0005546223370012415
59,0.00037165549068204424
60,-0.01450724361912461
61,-0.009708075251432626
62,-0.0010291875959034878
63,-0.00017449192557507175
64,-0.003666056960263088
65,-0.003628180052954274
66,0.004682957060007737
67,-0.005344896711106517
68,0.006755998178792448
69,-0.001374440103698773
70,-0.000978032916229846
71,0.010956577464381485
72,-0.008854204417601262
73,0.011742314011356279
74,0.00523530084346163
75,-0.0027660156030567522
76,0.003691188860247858
77,0.0032183902940028327
78,0.0012387873491079254
79,0.0010280587156595573
80,0.0030652504326543536
81,-0.0023892664404032826
82,0.0050707482975667064
83,-0.008593497892452406
84,-0.0006991705311872846
85,0.00032983189291353054
86,-0.00742311465413622
87,0.0020357788144636977
88,0.0018474625372796897
89,-0.0034175691675939128
90,-0.0018962569175535906
91,-0.00620598642852567
92,0.001122412791300304
93,0.0025489813333674353
94,0.002465616917113029
95,-0.0007703980926168941
96,-0.0021104814367916454
97,0.00284156264997541
98,0.007350077517346049
99,-0.0068749862864278
100,0.001199523723394579
101,-0.0004171165819661701
102,0.0034056455879090345
103,0.007147021557430398
104,-0.019334937515869087
105,0.004992772543684684
106,-0.0020071210444638264
107,0.0003945157212235803
108,-0.0006257544320875976
109,-0.0010195013867887956
110,-0.0023417082420623867
111,0.0038461022721323953
112,0.0026631555592249094
113,0.00406616909816339
114,0.003215604623333522
115,0.0011617255053060472
116,0.0032622815027207436
117,0.01394826464279043
118,-0.005620253195228726
119,0.007056907857004825
120,-0.007738878429717144
121,-0.00349649742529491
122,4.776698227156246e-05
123,-0.002656801538087411
124,0.0017450073933402573
125,-0.003988245585615263
126,-6.949387864420456e-05
127,-0.003666199069317659
128,-0.006621969059450332
129,0.0022002162254582173
130,0.0013383249805312917
131,0.0031635439659591347
132,-0.01102680283137176
133,-0.009767206720418482
134,0.09192571037705718
135,0.002164618888102488
136,-0.0004980343991180288
137,0.002694453550253902
138,0.007957843817325045
139,-0.001403104043470046
140,0.004562929589604446
141,0.0029356530687561456
142,-0.002087132519301556
143,-0.0003002829385642497
144,0.005343831620454376
145,0.006131796940948697
146,0.008552858055954076
147,0.0062328155892525956
148,-0.007127026906629029
149,0.004851168745134266
150,-0.007192491351660698
151,0.017553792134501083
152,-0.004264379603069539
153,-0.0013582416988467065
154,-0.004355800656553372
155,-2.8435872001076223e-05
156,0.0008387434986577831
157,-0.002431547209059526
158,-0.007559887669140743
159,-0.002485430374215215
160,-3.1427873134887595e-05
161,0.0016954038320721257
162,-0.017877764454986074
163,-0.0005679232965754596
164,-0.013395742533023959
165,0.004885216011540861
166,0.007029457170381936
167,-0.007152748749563164
168,0.0005211885135228636
169,0.0017510138336967254
170,0.0011231238535941075
171,-0.005120789594016039
172,-0.0005839755694801435
173,0.007037948665030547
174,0.0015172478378572914
175,0.002024027699700907
176,0.0038752965059665394
177,-0.06781979348493125
178,0.0027643499128747217
179,0.0009473593459635106
180,-0.008358022486910742
181,-0.0004462457387418106
182,0.00339656828846314
183,-0.0017786848458769908
184,-0.0004980359539952566
185,-0.009333242173541305
186,0.00020205673248868824
187,-0.004395928474793109
188,0.007348253814923703
189,0.019416204577084796
190,-0.005790780552616296
191,-0.0029100260578256297
192,-0.0009518157025007903
193,-0.004836564519207026
194,0.003967349655394774
195,0.09761357294182613
196,-0.0004360017309051809
197,-0.008650321561661647
198,-0.0017702348113539609
199,-0.018317155563477412
200,0.0022741532804422724
201,0.0025199484999496808
202,0.005180095171956665
203,0.004042289815624209
204,0.0037418313933546814
205,0.010389629890613353
206,0.00795218092115512
207,-0.002665919252125027
208,0.009206609643919523
209,0.003597798640342099
210,-0.0014368821996346341
211,-0.002132392101791678
212,-0.0012200911157569123
213,0.0019877115493348017
214,0.003876741585034377
215,0.004965039624658383
216,0.0010033458750581656
217,-0.003406406260718646
218,0.004518449945057753
219,-0.009167143533374968
220,0.006306675546587825
221,0.009937653935236167
222,0.008511634580727935
223,-0.0011173068919604183
224,0.004505040872403496
225,0.004722829823737529
226,-0.001006994615722177
227,-0.003191615074220194
228,-0.000878576723076209
229,-0.009547735495683218
230,0.0010928739282283727
231,0.0006242562750288385
232,-0.0031817384144970477
233,0.0038394719592256183
234,0.020144805033686018
235,-0.004874338022037217
236,0.0037462744484842705
237,0.0029774017544056783
238,0.0006219277939874797
239,-0.007581708139985969
240,-0.00219794974497127
241,-0.002918680331241429
242,-0.005964009465888135
243,0.00620294284781775
244,-0.004086119218731064
245,0.005696457338180436
246,0.0023134331391203725
247,-0.0005154640072319332
248,-0.0009263343130672747
249,0.001963799197738993
250,-0.0037050498854788554
251,0.005213651254712578
252,-0.005575355729357285
253,-0.001660436621377281
254,0.0017249733475656484
255,0.0014916069887292273
256,0.0006063242638888162
257,0.002641560138474612
258,-0.004925058066280125
259,0.0068329782067621525
260,-0.004326312702950024
261,-0.0026728411892784467
262,0.010124058147840745
263,0.005269347355311826
264,0.0018154763452064252
265,-0.00018245899151393788
266,0.005885023657062434
267,-0.007374401653544788
268,-0.005586506657668332
269,0.0047126853505510815
270,0.0014011046196759737
271,0.0037073154190070024
272,0.0023899552131841665
273,0.00025948898743586294
274,-0.005262569936603613
275,0.0003815466951003114
276,-0.0020428154517740595
277,-0.005371815434850462
278,-0.0025394678427653836
279,-0.0035701289539827297
280,0.002714858200365963
281,-0.003421411580329759
282,0.0013940027690145824
283,0.0011550977352175014
284,0.0018097173984534655
285,-0.00984964222717343
286,-0.003750628878988318
287,-0.0031735795665330324
288,-0.005657474256501428
289,-0.0011477142601038189
290,-0.002051084107952774
291,0.00591376646038705
292,0.001391744577229168
293,0.003789355709206504
294,0.008093811569652833
295,0.01125500055140824
296,-0.0015959752162388256
297,0.0038499082345437026
298,0.006955429960391077
299,-0.0032529280443123433
300,-0.0008560379238945562
301,0.00023782397335880175
302,-0.00689961277777686
303,0.001181276552085405
304,0.007357085219691376
305,-0.007230412816352509
306,-0.00010103211870596707
307,0.005818936393542587
308,0.00986035584255265
309,-0.04879271936579947
310,-0.011222656439107595
311,0.00878187047245671
312,-0.0017258686713646334
313,-0.0006446939759840213
314,0.001960717214809215
315,0.005334306672086201
316,0.000556754976627475
317,0.009919505915649938
318,-0.0021716358296062746
319,-0.0034486060350929575
320,-0.0010509598843421006
321,-0.001114958145568104
322,0.002267402602794452
323,-0.006956832424821759
324,-0.003776137212068424
325,-0.0017582853915179076
326,-0.006596275393946157
327,0.003076142299781209
328,-0.003736744577003568
329,0.0007536963781990709
330,0.0006367462372893321
331,0.000819033812414035
332,0.0014079127789945248
333,-0.00563384132285747
334,-0.008901292784377807
335,0.0015882010139256768
336,-0.0064604720177733775
337,-0.007158186534419133
338,0.0036737141118894936
339,9.57238048842666e-05
340,0.009294208801384093
341,-0.005028118826633014
342,0.0077889890035902675
343,-0.002071160400193319
344,0.0023914726808160606
345,-2.0174522528434625e-05
346,-0.0043571010049894806
347,0.005311157621949472
348,-0.0024649830509350427
349,-0.010889487867276426
350,0.0029601908847913393
351,-0.0022658288017454622
352,0.004203664998689418
353,0.000624248841826265
354,0.004164429753795019
355,-0.0030619627294860676
356,0.0017230955610396464
357,-0.001451717523161784
358,0.0038565533334895324
359,-0.0014577975658849472
360,0.0021269408025037444
361,0.006357982794665167
362,0.0037496974840718674
363,-0.00454426668194649
364,-0.00018501046167256955
365,0.005720622002105175
366,0.012328808114694684
367,-0.0046350272150838786
368,-0.0032136244042670166
369,0.0008055199499721313
370,0.0031839030698842417
371,0.003577427117160134
372,0.010822238462583969
373,-0.00546188834569824
374,0.0008523599286718877
375,0.004867922547156406
376,0.009126253610316904
377,0.0083100126569235
378,0.002915737157685162
379,0.01164555008107256
380,-0.004577876292371935
381,-0.002665192862305452
382,0.0033433788812417525
383,-0.002319900105570895
